rank,restaurant_name,city,state,phone_number,website,email_address,source,source_url,verification_status
33,Van's Banh Mi,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
34,Leon Valley Cafe,San Antonio,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
35,The Pita Shop,San Marcos,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
36,Diced Poke,Houston,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
37,El Taquito,El Paso,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
38,Empa Mundo,Irving,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
39,Pappa Gyros,Katy,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
40,Mama Frances Soul Kitchen,La Marque,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
41,Slider Provider,Helotes,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
42,Butcher Block Food & Drinks,Dallas,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
43,Moi Vietnamese Grill,Pflugerville,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
44,Bowl Mami,Carrollton,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
45,Taqueria El Crucero,Waco,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
46,Cafe Homestead,Waco,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
47,Papa's Burgers,San Antonio,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
48,Whiskers Fish & Burgers,Dallas,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
49,Tiba Grill,Arlington,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
50,Quixote Bakery Cafe,Richland Hills,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
51,Coco Shrimp,Fort Worth,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
52,Yoyo's Hot Dog,Houston,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
